"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify error handling when deleting user with invalid ID","33","testDeleteUserWithInvalidId","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteUserWithInvalidId"
"Verify appropriate error handling when creating user with invalid data","43","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that a new user can be created with valid data","391","testCreateUserWithValidData","Surefire suite","Thu Jul 17 09:25:17 GMT 2025","failed","Thu Jul 17 09:25:17 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
"Verify appropriate error handling when creating user with invalid data","43","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that a single user can be retrieved by valid ID","58","testGetSingleUserByValidId","Surefire suite","Thu Jul 17 09:25:17 GMT 2025","failed","Thu Jul 17 09:25:17 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByValidId"
"Verify appropriate error handling when creating user with invalid data","47","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify partial update of user data","49","testPartialUpdateUser","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testPartialUpdateUser"
"Verify error handling when creating user with empty request body","45","testCreateUserWithEmptyBody","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithEmptyBody"
"Verify error handling when creating user with malformed JSON","46","testCreateUserWithMalformedJson","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithMalformedJson"
"Verify that an existing user can be updated with valid data","46","testUpdateUserWithValidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify appropriate error handling when creating user with invalid data","45","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that all users can be retrieved successfully","2650","testGetAllUsers","Surefire suite","Thu Jul 17 09:25:14 GMT 2025","failed","Thu Jul 17 09:25:16 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetAllUsers"
"Verify XSS protection in user creation","42","testXssProtection","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:19 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testXssProtection"
"Validate that REST Assured and TestNG are working correctly","22","validateTestFramework","Surefire suite","Thu Jul 17 09:25:19 GMT 2025","passed","Thu Jul 17 09:25:19 GMT 2025","com.emmanuelarhu.tests.ConnectivityTest","Surefire test","com.emmanuelarhu.tests.ConnectivityTest","validateTestFramework"
"Verify error handling when deleting non-existent user","35","testDeleteNonExistentUser","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteNonExistentUser"
"Verify SQL injection protection in user ID parameter","30","testSqlInjectionProtection","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testSqlInjectionProtection"
"Validate that Allure reporting is working correctly","2","validateAllureIntegration","Surefire suite","Thu Jul 17 09:25:19 GMT 2025","passed","Thu Jul 17 09:25:19 GMT 2025","com.emmanuelarhu.tests.ConnectivityTest","Surefire test","com.emmanuelarhu.tests.ConnectivityTest","validateAllureIntegration"
"Verify API can handle concurrent requests","45","testConcurrentRequests","Surefire suite","Thu Jul 17 09:25:19 GMT 2025","failed","Thu Jul 17 09:25:19 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testConcurrentRequests"
"Verify that an existing user can be deleted","55","testDeleteExistingUser","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteExistingUser"
"Verify error handling for special characters in user ID","52","testGetSingleUserBySpecialCharacterId","Surefire suite","Thu Jul 17 09:25:17 GMT 2025","failed","Thu Jul 17 09:25:17 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserBySpecialCharacterId"
"Verify error handling when deleting user with negative ID","34","testDeleteUserWithNegativeId","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteUserWithNegativeId"
"Validate that FakeStore API is accessible from the test environment","31","validateApiConnectivity","Surefire suite","Thu Jul 17 09:25:19 GMT 2025","passed","Thu Jul 17 09:25:19 GMT 2025","com.emmanuelarhu.tests.ConnectivityTest","Surefire test","com.emmanuelarhu.tests.ConnectivityTest","validateApiConnectivity"
"Verify error handling when updating non-existent user","43","testUpdateNonExistentUser","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateNonExistentUser"
"Verify appropriate error handling when creating user with invalid data","44","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify appropriate error handling when creating user with invalid data","43","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that an existing user can be updated with valid data","50","testUpdateUserWithValidData","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify error handling when updating user with invalid ID","45","testUpdateUserWithInvalidId","Surefire suite","Thu Jul 17 09:25:18 GMT 2025","failed","Thu Jul 17 09:25:18 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithInvalidId"
